2025-05-20 13:17:28.451569 - 🚀 Starting article-compliant preprocessing pipeline...
2025-05-20 13:17:35.320206 - [✓] AK-12 - 3 (1).wav processed
2025-05-20 13:17:35.508828 - [✓] AK-12 - 3 (10).wav processed
2025-05-20 13:17:35.752848 - [✓] AK-12 - 3 (11).wav processed
2025-05-20 13:17:35.915021 - [✓] AK-12 - 3 (12).wav processed
2025-05-20 13:17:36.150620 - [✓] AK-12 - 3 (13).wav processed
2025-05-20 13:17:36.356917 - [✓] AK-12 - 3 (14).wav processed
2025-05-20 13:17:36.510703 - [✓] AK-12 - 3 (15).wav processed
2025-05-20 13:17:36.689033 - [✓] AK-12 - 3 (16).wav processed
2025-05-20 13:17:36.822426 - [✓] AK-12 - 3 (17).wav processed
2025-05-20 13:17:36.954706 - [✓] AK-12 - 3 (18).wav processed
2025-05-20 13:17:37.106037 - [✓] AK-12 - 3 (19).wav processed
2025-05-20 13:17:37.270710 - [✓] AK-12 - 3 (2).wav processed
2025-05-20 13:17:37.417010 - [✓] AK-12 - 3 (20).wav processed
2025-05-20 13:17:37.584979 - [✓] AK-12 - 3 (21).wav processed
2025-05-20 13:17:37.748582 - [✓] AK-12 - 3 (22).wav processed
2025-05-20 13:17:37.933113 - [✓] AK-12 - 3 (23).wav processed
2025-05-20 13:17:38.092595 - [✓] AK-12 - 3 (24).wav processed
2025-05-20 13:17:38.262748 - [✓] AK-12 - 3 (25).wav processed
2025-05-20 13:17:38.469883 - [✓] AK-12 - 3 (26).wav processed
2025-05-20 13:17:38.659000 - [✓] AK-12 - 3 (27).wav processed
2025-05-20 13:17:38.838070 - [✓] AK-12 - 3 (28).wav processed
2025-05-20 13:17:39.025349 - [✓] AK-12 - 3 (29).wav processed
2025-05-20 13:17:39.197783 - [✓] AK-12 - 3 (3).wav processed
2025-05-20 13:17:39.320114 - [✓] AK-12 - 3 (30).wav processed
2025-05-20 13:17:39.533473 - [✓] AK-12 - 3 (31).wav processed
2025-05-20 13:17:39.847292 - [✓] AK-12 - 3 (32).wav processed
2025-05-20 13:17:40.021330 - [✓] AK-12 - 3 (33).wav processed
2025-05-20 13:17:40.282457 - [✓] AK-12 - 3 (34).wav processed
2025-05-20 13:17:40.490909 - [✓] AK-12 - 3 (35).wav processed
2025-05-20 13:17:40.641262 - [✓] AK-12 - 3 (36).wav processed
2025-05-20 13:17:40.778602 - [✓] AK-12 - 3 (37).wav processed
2025-05-20 13:17:40.952245 - [✓] AK-12 - 3 (38).wav processed
2025-05-20 13:17:41.169070 - [✓] AK-12 - 3 (39).wav processed
2025-05-20 13:17:41.413404 - [✓] AK-12 - 3 (4).wav processed
2025-05-20 13:17:41.581046 - [✓] AK-12 - 3 (40).wav processed
2025-05-20 13:17:41.699366 - [✓] AK-12 - 3 (41).wav processed
2025-05-20 13:17:41.852033 - [✓] AK-12 - 3 (42).wav processed
2025-05-20 13:17:41.984871 - [✓] AK-12 - 3 (43).wav processed
2025-05-20 13:17:42.177807 - [✓] AK-12 - 3 (44).wav processed
2025-05-20 13:17:42.329216 - [✓] AK-12 - 3 (45).wav processed
2025-05-20 13:17:42.471387 - [✓] AK-12 - 3 (46).wav processed
2025-05-20 13:17:42.668727 - [✓] AK-12 - 3 (47).wav processed
2025-05-20 13:17:42.849006 - [✓] AK-12 - 3 (48).wav processed
2025-05-20 13:17:43.006314 - [✓] AK-12 - 3 (49).wav processed
2025-05-20 13:17:43.247676 - [✓] AK-12 - 3 (5).wav processed
2025-05-20 13:17:43.412731 - [✓] AK-12 - 3 (50).wav processed
2025-05-20 13:17:43.546095 - [✓] AK-12 - 3 (51).wav processed
2025-05-20 13:17:43.670361 - [✓] AK-12 - 3 (52).wav processed
2025-05-20 13:17:43.838303 - [✓] AK-12 - 3 (53).wav processed
2025-05-20 13:17:43.969181 - [✓] AK-12 - 3 (54).wav processed
2025-05-20 13:17:44.131812 - [✓] AK-12 - 3 (55).wav processed
2025-05-20 13:17:44.302618 - [✓] AK-12 - 3 (56).wav processed
2025-05-20 13:17:44.978424 - [✓] AK-12 - 3 (57).wav processed
2025-05-20 13:17:45.135798 - [✓] AK-12 - 3 (58).wav processed
2025-05-20 13:17:45.306365 - [✓] AK-12 - 3 (59).wav processed
2025-05-20 13:17:45.462319 - [✓] AK-12 - 3 (6).wav processed
2025-05-20 13:17:45.611443 - [✓] AK-12 - 3 (60).wav processed
2025-05-20 13:17:45.770439 - [✓] AK-12 - 3 (61).wav processed
2025-05-20 13:17:45.903086 - [✓] AK-12 - 3 (62).wav processed
2025-05-20 13:17:46.033899 - [✓] AK-12 - 3 (63).wav processed
2025-05-20 13:17:46.235404 - [✓] AK-12 - 3 (64).wav processed
2025-05-20 13:17:46.434550 - [✓] AK-12 - 3 (65).wav processed
2025-05-20 13:17:46.601117 - [✓] AK-12 - 3 (66).wav processed
2025-05-20 13:17:46.780210 - [✓] AK-12 - 3 (67).wav processed
2025-05-20 13:17:46.952657 - [✓] AK-12 - 3 (68).wav processed
2025-05-20 13:17:47.155134 - [✓] AK-12 - 3 (69).wav processed
2025-05-20 13:17:47.296489 - [✓] AK-12 - 3 (7).wav processed
2025-05-20 13:17:47.484093 - [✓] AK-12 - 3 (70).wav processed
2025-05-20 13:17:47.632706 - [✓] AK-12 - 3 (71).wav processed
2025-05-20 13:17:48.351490 - [✓] AK-12 - 3 (72).wav processed
2025-05-20 13:17:48.613840 - [✓] AK-12 - 3 (73).wav processed
2025-05-20 13:17:48.784952 - [✓] AK-12 - 3 (74).wav processed
2025-05-20 13:17:48.953128 - [✓] AK-12 - 3 (75).wav processed
2025-05-20 13:17:49.078149 - [✓] AK-12 - 3 (76).wav processed
2025-05-20 13:17:49.200254 - [✓] AK-12 - 3 (77).wav processed
2025-05-20 13:17:49.393503 - [✓] AK-12 - 3 (78).wav processed
2025-05-20 13:17:49.529876 - [✓] AK-12 - 3 (79).wav processed
2025-05-20 13:17:49.680466 - [✓] AK-12 - 3 (8).wav processed
2025-05-20 13:17:49.943125 - [✓] AK-12 - 3 (80).wav processed
2025-05-20 13:17:50.133659 - [✓] AK-12 - 3 (81).wav processed
2025-05-20 13:17:50.354447 - [✓] AK-12 - 3 (82).wav processed
2025-05-20 13:17:50.516260 - [✓] AK-12 - 3 (83).wav processed
2025-05-20 13:17:50.728101 - [✓] AK-12 - 3 (84).wav processed
2025-05-20 13:17:50.914332 - [✓] AK-12 - 3 (85).wav processed
2025-05-20 13:17:51.124111 - [✓] AK-12 - 3 (86).wav processed
2025-05-20 13:17:51.293504 - [✓] AK-12 - 3 (87).wav processed
2025-05-20 13:17:51.469675 - [✓] AK-12 - 3 (88).wav processed
2025-05-20 13:17:52.267187 - [✓] AK-12 - 3 (89).wav processed
2025-05-20 13:17:52.628566 - [✓] AK-12 - 3 (9).wav processed
2025-05-20 13:17:52.830049 - [✓] AK-12 - 3 (90).wav processed
2025-05-20 13:17:53.032868 - [✓] AK-12 - 3 (91).wav processed
2025-05-20 13:17:53.158779 - [✓] AK-12 - 3 (92).wav processed
2025-05-20 13:17:53.305702 - [✓] AK-12 - 3 (93).wav processed
2025-05-20 13:17:53.507231 - [✓] AK-12 - 3 (94).wav processed
2025-05-20 13:17:53.680810 - [✓] AK-12 - 3 (95).wav processed
2025-05-20 13:17:53.854829 - [✓] AK-12 - 3 (96).wav processed
2025-05-20 13:17:53.996422 - [✓] AK-12 - 3 (97).wav processed
2025-05-20 13:17:54.179203 - [✓] AK-12 - 3 (98).wav processed
2025-05-20 13:17:54.348684 - [✓] AK-47 - 1 (1).wav processed
2025-05-20 13:17:54.563903 - [✓] AK-47 - 1 (10).wav processed
2025-05-20 13:17:54.752036 - [✓] AK-47 - 1 (11).wav processed
2025-05-20 13:17:55.030849 - [✓] AK-47 - 1 (12).wav processed
2025-05-20 13:17:55.178287 - [✓] AK-47 - 1 (13).wav processed
2025-05-20 13:17:55.538996 - [✓] AK-47 - 1 (14).wav processed
2025-05-20 13:17:55.745034 - [✓] AK-47 - 1 (15).wav processed
2025-05-20 13:17:55.931663 - [✓] AK-47 - 1 (16).wav processed
2025-05-20 13:17:56.162913 - [✓] AK-47 - 1 (17).wav processed
2025-05-20 13:17:56.286687 - [✓] AK-47 - 1 (18).wav processed
2025-05-20 13:17:56.408040 - [✓] AK-47 - 1 (19).wav processed
2025-05-20 13:17:56.586503 - [✓] AK-47 - 1 (2).wav processed
2025-05-20 13:17:56.797604 - [✓] AK-47 - 1 (20).wav processed
2025-05-20 13:17:56.985707 - [✓] AK-47 - 1 (21).wav processed
2025-05-20 13:17:57.154240 - [✓] AK-47 - 1 (22).wav processed
2025-05-20 13:17:57.381110 - [✓] AK-47 - 1 (23).wav processed
2025-05-20 13:17:57.547143 - [✓] AK-47 - 1 (24).wav processed
2025-05-20 13:17:57.687393 - [✓] AK-47 - 1 (25).wav processed
2025-05-20 13:17:57.828475 - [✓] AK-47 - 1 (26).wav processed
2025-05-20 13:17:58.001946 - [✓] AK-47 - 1 (27).wav processed
2025-05-20 13:17:58.128226 - [✓] AK-47 - 1 (28).wav processed
2025-05-20 13:17:58.281171 - [✓] AK-47 - 1 (29).wav processed
2025-05-20 13:17:58.451245 - [✓] AK-47 - 1 (3).wav processed
2025-05-20 13:17:58.600780 - [✓] AK-47 - 1 (30).wav processed
2025-05-20 13:17:58.786397 - [✓] AK-47 - 1 (31).wav processed
2025-05-20 13:17:59.058832 - [✓] AK-47 - 1 (32).wav processed
2025-05-20 13:17:59.319493 - [✓] AK-47 - 1 (33).wav processed
2025-05-20 13:17:59.492500 - [✓] AK-47 - 1 (34).wav processed
2025-05-20 13:17:59.677635 - [✓] AK-47 - 1 (35).wav processed
2025-05-20 13:17:59.863953 - [✓] AK-47 - 1 (36).wav processed
2025-05-20 13:18:00.139017 - [✓] AK-47 - 1 (37).wav processed
2025-05-20 13:18:00.335576 - [✓] AK-47 - 1 (38).wav processed
2025-05-20 13:18:00.653772 - [✓] AK-47 - 1 (39).wav processed
2025-05-20 13:18:01.168931 - [✓] AK-47 - 1 (4).wav processed
2025-05-20 13:18:01.492204 - [✓] AK-47 - 1 (40).wav processed
2025-05-20 13:18:01.852864 - [✓] AK-47 - 1 (41).wav processed
2025-05-20 13:18:02.186439 - [✓] AK-47 - 1 (42).wav processed
2025-05-20 13:18:02.411181 - [✓] AK-47 - 1 (43).wav processed
2025-05-20 13:18:02.640903 - [✓] AK-47 - 1 (44).wav processed
2025-05-20 13:18:02.878604 - [✓] AK-47 - 1 (45).wav processed
2025-05-20 13:18:03.060824 - [✓] AK-47 - 1 (46).wav processed
2025-05-20 13:18:03.244021 - [✓] AK-47 - 1 (47).wav processed
2025-05-20 13:18:03.483364 - [✓] AK-47 - 1 (48).wav processed
2025-05-20 13:18:03.730769 - [✓] AK-47 - 1 (49).wav processed
2025-05-20 13:18:03.940330 - [✓] AK-47 - 1 (5).wav processed
2025-05-20 13:18:04.345356 - [✓] AK-47 - 1 (50).wav processed
2025-05-20 13:18:04.774281 - [✓] AK-47 - 1 (51).wav processed
2025-05-20 13:18:04.966760 - [✓] AK-47 - 1 (52).wav processed
2025-05-20 13:18:05.144724 - [✓] AK-47 - 1 (53).wav processed
2025-05-20 13:18:05.363436 - [✓] AK-47 - 1 (54).wav processed
2025-05-20 13:18:05.548314 - [✓] AK-47 - 1 (55).wav processed
2025-05-20 13:18:05.722483 - [✓] AK-47 - 1 (56).wav processed
2025-05-20 13:18:05.920794 - [✓] AK-47 - 1 (57).wav processed
2025-05-20 13:18:06.165050 - [✓] AK-47 - 1 (58).wav processed
2025-05-20 13:18:06.364703 - [✓] AK-47 - 1 (59).wav processed
2025-05-20 13:18:06.550801 - [✓] AK-47 - 1 (6).wav processed
2025-05-20 13:18:06.733064 - [✓] AK-47 - 1 (60).wav processed
2025-05-20 13:18:06.900638 - [✓] AK-47 - 1 (61).wav processed
2025-05-20 13:18:07.131665 - [✓] AK-47 - 1 (62).wav processed
2025-05-20 13:18:07.296686 - [✓] AK-47 - 1 (63).wav processed
2025-05-20 13:18:07.453481 - [✓] AK-47 - 1 (64).wav processed
2025-05-20 13:18:07.607979 - [✓] AK-47 - 1 (65).wav processed
2025-05-20 13:18:07.772848 - [✓] AK-47 - 1 (66).wav processed
2025-05-20 13:18:07.921388 - [✓] AK-47 - 1 (67).wav processed
2025-05-20 13:18:08.054571 - [✓] AK-47 - 1 (68).wav processed
2025-05-20 13:18:08.286345 - [✓] AK-47 - 1 (69).wav processed
2025-05-20 13:18:08.577092 - [✓] AK-47 - 1 (7).wav processed
2025-05-20 13:18:08.857611 - [✓] AK-47 - 1 (70).wav processed
2025-05-20 13:18:09.090237 - [✓] AK-47 - 1 (71).wav processed
2025-05-20 13:18:09.294453 - [✓] AK-47 - 1 (72).wav processed
2025-05-20 13:18:09.488582 - [✓] AK-47 - 1 (8).wav processed
2025-05-20 13:18:09.686775 - [✓] AK-47 - 1 (9).wav processed
2025-05-20 13:18:09.837386 - [✓] IMI Desert Eagle - 2 (1).wav processed
2025-05-20 13:18:10.009409 - [✓] IMI Desert Eagle - 2 (10).wav processed
2025-05-20 13:18:10.189351 - [✓] IMI Desert Eagle - 2 (100).wav processed
2025-05-20 13:18:10.414958 - [✓] IMI Desert Eagle - 2 (11).wav processed
2025-05-20 13:18:10.577568 - [✓] IMI Desert Eagle - 2 (12).wav processed
2025-05-20 13:18:10.748883 - [✓] IMI Desert Eagle - 2 (13).wav processed
2025-05-20 13:18:10.907342 - [✓] IMI Desert Eagle - 2 (14).wav processed
2025-05-20 13:18:11.089172 - [✓] IMI Desert Eagle - 2 (15).wav processed
2025-05-20 13:18:11.265034 - [✓] IMI Desert Eagle - 2 (16).wav processed
2025-05-20 13:18:11.526210 - [✓] IMI Desert Eagle - 2 (17).wav processed
2025-05-20 13:18:11.681297 - [✓] IMI Desert Eagle - 2 (18).wav processed
2025-05-20 13:18:11.863155 - [✓] IMI Desert Eagle - 2 (19).wav processed
2025-05-20 13:18:12.086507 - [✓] IMI Desert Eagle - 2 (2).wav processed
2025-05-20 13:18:12.251415 - [✓] IMI Desert Eagle - 2 (20).wav processed
2025-05-20 13:18:12.403881 - [✓] IMI Desert Eagle - 2 (21).wav processed
2025-05-20 13:18:12.561910 - [✓] IMI Desert Eagle - 2 (22).wav processed
2025-05-20 13:18:12.759176 - [✓] IMI Desert Eagle - 2 (23).wav processed
2025-05-20 13:18:12.909818 - [✓] IMI Desert Eagle - 2 (24).wav processed
2025-05-20 13:18:13.130740 - [✓] IMI Desert Eagle - 2 (25).wav processed
2025-05-20 13:18:13.281839 - [✓] IMI Desert Eagle - 2 (26).wav processed
2025-05-20 13:18:13.434173 - [✓] IMI Desert Eagle - 2 (27).wav processed
2025-05-20 13:18:13.584983 - [✓] IMI Desert Eagle - 2 (28).wav processed
2025-05-20 13:18:13.734931 - [✓] IMI Desert Eagle - 2 (29).wav processed
2025-05-20 13:18:13.924173 - [✓] IMI Desert Eagle - 2 (3).wav processed
2025-05-20 13:18:14.099945 - [✓] IMI Desert Eagle - 2 (30).wav processed
2025-05-20 13:18:14.259519 - [✓] IMI Desert Eagle - 2 (31).wav processed
2025-05-20 13:18:14.494714 - [✓] IMI Desert Eagle - 2 (32).wav processed
2025-05-20 13:18:14.688400 - [✓] IMI Desert Eagle - 2 (33).wav processed
2025-05-20 13:18:14.908494 - [✓] IMI Desert Eagle - 2 (34).wav processed
2025-05-20 13:18:15.103730 - [✓] IMI Desert Eagle - 2 (35).wav processed
2025-05-20 13:18:15.304271 - [✓] IMI Desert Eagle - 2 (36).wav processed
2025-05-20 13:18:15.606306 - [✓] IMI Desert Eagle - 2 (37).wav processed
2025-05-20 13:18:15.916123 - [✓] IMI Desert Eagle - 2 (38).wav processed
2025-05-20 13:18:16.137951 - [✓] IMI Desert Eagle - 2 (39).wav processed
2025-05-20 13:18:16.353531 - [✓] IMI Desert Eagle - 2 (4).wav processed
2025-05-20 13:18:16.578445 - [✓] IMI Desert Eagle - 2 (40).wav processed
2025-05-20 13:18:16.787006 - [✓] IMI Desert Eagle - 2 (41).wav processed
2025-05-20 13:18:16.938139 - [✓] IMI Desert Eagle - 2 (42).wav processed
2025-05-20 13:18:17.079967 - [✓] IMI Desert Eagle - 2 (43).wav processed
2025-05-20 13:18:17.279098 - [✓] IMI Desert Eagle - 2 (44).wav processed
2025-05-20 13:18:17.434584 - [✓] IMI Desert Eagle - 2 (45).wav processed
2025-05-20 13:18:17.675100 - [✓] IMI Desert Eagle - 2 (46).wav processed
2025-05-20 13:18:17.840811 - [✓] IMI Desert Eagle - 2 (47).wav processed
2025-05-20 13:18:18.046704 - [✓] IMI Desert Eagle - 2 (48).wav processed
2025-05-20 13:18:18.211056 - [✓] IMI Desert Eagle - 2 (49).wav processed
2025-05-20 13:18:18.381483 - [✓] IMI Desert Eagle - 2 (5).wav processed
2025-05-20 13:18:18.595575 - [✓] IMI Desert Eagle - 2 (50).wav processed
2025-05-20 13:18:18.792577 - [✓] IMI Desert Eagle - 2 (51).wav processed
2025-05-20 13:18:19.096733 - [✓] IMI Desert Eagle - 2 (52).wav processed
2025-05-20 13:18:19.329532 - [✓] IMI Desert Eagle - 2 (53).wav processed
2025-05-20 13:18:19.538771 - [✓] IMI Desert Eagle - 2 (54).wav processed
